Word	Conc.M	SUBTLEX
amendatory	1.6	0
amendment	2.44	209
amends	1.92	94
amenity	2.86	0
americanize	1.79	1
amethyst	4.09	6
amiable	2.39	30
amicability	1.48	0
amicable	1.74	13
amicableness	1.58	0
amicably	2.11	10
amid	2.27	45
amidst	2.15	35
amigo	3.28	259
amino	2.74	31
amiss	1.53	38
ammo	4.8499999999999996	274
ammonia	4.4400000000000004	76
ammonium	4.04	26
ammunition	4.88	300
amnesia	3.61	189
amnesiac	2.89	2
amnesty	2.1800000000000002	68
amoeba	3.77	16
amoebic	2.84	3
amok	2	26
among	2.38	1729
amongst	2.81	364
amoral	1.46	10
amorality	1.64	2
amorously	1.82	0
amorousness	1.92	0
amorphous	2.15	7
amorphously	1.96	0
amount	2.74	1262
amp	3.59	93
amperage	3.08	5
amphetamine	4.18	15
amphibian	3.77	20
amphibious	3.64	30
amphibiously	2.65	0
amphitheater	4.3600000000000003	5
ample	2.5	93
ampleness	2	0
amplification	2.93	8
amplifier	4.79	16
amplify	2.96	19
amplitude	2.92	6
amply	2	18
amputate	3.9	44
amputation	3.76	43
amputee	4.79	10
amuck	1.68	26
amulet	4	118
amusable	2.14	0
amuse	2.57	133
amused	1.96	128
amusedly	2	1
amusement	2.0699999999999998	191
amuser	3.52	0
amusing	2.14	469
amusingly	2	4
an	1.46	95071
anaconda	4.93	24
anaerobic	2.64	4
anaesthetize	2.69	1
anagram	3.63	26
anagrams	3.17	12
anal	3.3	138
analgesic	3.57	5
anally	2.92	5
analog	2.67	12
analogical	1.82	0
analogous	1.58	4
analogue	3.08	5
analogy	1.61	58
analyses	2.04	7
analysis	2.56	563
analyst	4.2300000000000004	177
analytic	1.8	4
analytical	1.86	30
analytically	1.82	0
analytics	2.4300000000000002	0
analyzability	1.93	0
analyzable	1.88	1
analyze	2.2999999999999998	165
analyzer	2.56	26
anamorphic	2.34	0
anaphylactic	3	27
anarchic	1.75	2
anarchical	1.76	0
anarchism	1.92	2
anarchist	2.83	29
anarchistic	1.88	1
anarchy	2.12	103
anatomic	2.44	4
anatomical	3.07	16
anatomically	3	16
anatomist	3.59	3
anatomization	2.38	0
anatomy	3.59	163
ancestor	3.24	86
ancestors	3.36	279
ancestral	1.96	29
ancestrally	2.33	2
ancestry	2.83	24
anchor	4.7699999999999996	378
anchorage	3.48	36
anchored	3.72	36
anchorless	3.29	0
anchorman	4.72	18
anchorwoman	4.66	14
anchovy	4.96	7
ancient	2.04	1105
anciently	2.4	1
and	1.52	682780
androgyny	2.58	1
android	4.22	45
anecdotal	2	19
anecdote	2.64	55
anecdotic	2.19	0
anemia	3.25	35
anemic	2.74	32
anemone	4.24	13
anesthesia	3.41	101
anesthesiologist	4.2699999999999996	27
anesthesiology	3.59	9
anesthetic	3.93	68
anesthetist	3.32	6
anesthetization	2.81	0
anesthetize	3.48	14
aneurism	3.56	6
aneurysm	3.79	101
anew	1.72	44
angel	3.82	3992
angelfish	5	5
angelic	2.2200000000000002	29
angelical	2.65	1
angelically	2.23	3
anger	2.41	991
angers	2.27	19
angioplasty	3.52	16
angle	3.5	761
angled	3.34	12
angler	4.1399999999999997	19
angles	3.59	164
angleworm	4.4800000000000004	1
angling	2.74	22
angrily	2.52	20
angriness	2.4300000000000002	0
angry	2.5299999999999998	3008
angst	1.96	47
anguish	2.38	110
anguished	2.2799999999999998	13
angular	3.07	7
angus	4.1900000000000004	208
animal	4.6100000000000003	2320
animalistic	2.39	5
animalize	2.33	0
animate	3.04	3
animated	2.96	61
animatedly	2.19	0
animating	3.08	4
animation	3.41	62
animator	4	2
anime	3.62	6
animosity	2.11	31
ankle	4.8099999999999996	409
anklebone	4.92	1
anklet	4.75	21
annex	4	43
annexation	2.3199999999999998	7
annihilate	2.75	36
annihilation	2.69	41
annihilative	1.96	0
annihilator	2.85	0
anniversary	3.15	939
annotate	3	3
annotation	3.06	0
annotative	1.92	0
annotator	3.52	0
announce	3.31	498
announcement	2.79	525
announcer	4.5199999999999996	574
annoy	1.93	128
annoyance	2.14	25
annoyed	2.89	175
annoyer	3.03	1
annoying	2.31	567
annoyingly	2.04	11
annoyingness	1.75	0
annual	1.78	367
annually	2.77	25
annuity	2.64	18
annul	2.2799999999999998	26
annulment	2.25	76
annunciation	2	1
anoint	2.84	10
anointed	2.71	38
anointer	3.35	0
anointment	2.8	0
anomaly	1.79	63
anonymity	1.88	46
anonymous	2.0299999999999998	429
anonymously	2	35
anonymousness	2.0699999999999998	0
anorexia	3.41	13
anorexic	2.85	29
another	2.69	25970
answer	2.89	8986
answerability	1.26	0
answerable	1.93	9
answerably	1.64	0
answerer	3.56	0
answerless	2.08	0
ant	4.8600000000000003	273
antacid	4.25	16
antagonism	2.33	11
antagonist	2.75	13
antagonistic	2.0699999999999998	22
antagonistically	2.19	0
antagonize	2.4300000000000002	27
antarctic	4.21	31
ante	3	111
anteater	4.8600000000000003	11
antelope	5	50
antenna	4.75	122
antennae	4.8499999999999996	28
anterior	3.5	48
anthem	3.36	96
anthill	4.8899999999999997	29
anthologist	3.52	0
anthology	3.07	14
anthrax	4.4400000000000004	66
anthropological	2.29	26
anthropologically	1.95	5
anthropologist	4	53
anthropology	2.41	67
anthropomorphic	2.5	0
anti	2.12	26
antiaircraft	3.48	25
antibacterial	3.17	17
antibiotic	4.43	33
antibiotics	4.45	187
antibody	3.48	13
antic	2.16	4
anticensorship	1.78	0
antichrist	2.93	49
antichristian	2	0
antichurch	2.5	0
anticipate	1.54	129
anticipation	1.93	127
anticipative	1.81	0
anticipator	2.52	0
anticipatory	1.69	6
anticlimactic	2	10
anticlimax	1.81	4
anticlockwise	2.96	2
anticoagulant	3.46	3
anticoagulation	2.76	2
anticommunism	1.63	1
anticommunist	2.46	1
anticonvulsive	2.78	0
anticorrosive	2.92	1
antics	2.6	50
antidemocratic	2.08	1
antidepressant	3.8	18
antidote	3.42	221
antiestablishment	2.2999999999999998	3
antifeminism	2	0
antifeminist	2.12	2
antifoaming	3.32	0
antifreeze	4.54	16
antifundamentalist	1.73	0
antifungal	3.55	1
antigambling	1.81	0
antiglare	3.09	0
antigovernment	1.85	4
antigravity	2.37	28
antigrowth	2.36	0
antihero	2.72	1
antiheroic	1.54	0
antihistamine	3.68	12
antihuman	1.58	1
antimatter	1.77	10
antimilitarist	2.74	0
antimilitary	1.7	1
antimonarchical	1.83	0
antinationalist	2.16	0
antioxidant	3.59	1
antipasto	3.96	8
antipathy	1.55	4
antipatriotic	1.9	0
antipersonnel	2.33	5
antiperspirant	4.25	7
antipoetic	1.62	0
antipollution	2.2200000000000002	0
antipoverty	1.9	0
antipsychotic	2.25	6
antiquate	1.8	0
antiquated	2.2200000000000002	28
antiquation	1.93	0
antique	3.75	309
antiquely	2.04	0
antiques	4.22	137
